id	title	source_url	missing_fields
6316	2023 Fast & Furious 2 Dollars 1 oz Silver Prooflike	https://germaniamint.com/all-coins/no-series/2023-fast-furious-2-dollars-1-oz-silver-prooflike	image_obverse+image_reverse,mintage,diameter_mm
6322	2023 Germania 10 oz Silver BU ANA Edition	https://germaniamint.com/all-coins/no-series/2023-germania-10-oz-silver-bu-ana-edition	image_obverse+image_reverse,face_value,mintage,diameter_mm
6323	2023 Germania 2 oz Silver BU	https://germaniamint.com/all-coins/germania/2023-germania-2-oz-silver-bu-2-oz-silver-bu	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6324	2023 Germania 2 oz Silver BU ANA Edition	https://germaniamint.com/all-coins/no-series/2023-germania-2-oz-silver-bu-ana-edition	image_obverse+image_reverse,face_value,mintage,diameter_mm
6325	2023 Germania Kilo Silver BU	https://germaniamint.com/all-coins/germania/2023-germania-kilo-silver-bu-kilo-silver-bu	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6358	2025 Germania 1 oz Black Silver BU WMF Edition	https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition-2	image_obverse+image_reverse,face_value,mintage,diameter_mm
6359	2025 Germania 1 oz Black Silver BU WMF Edition	https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition	image_obverse+image_reverse,face_value,mintage,diameter_mm
6387	2026 Bödvar Saga: Loss 1 oz Copper BU	https://germaniamint.com/all-coins/bodvar-saga/2026-bodvar-saga-loss-1-oz-copper-bu	face_value
6391	2026 Germania 1/2 oz Copper Bullion	https://germaniamint.com/all-coins/germania/2026-germania-1-2-oz-copper-bullion	face_value
6396	2026 Norns: Skuld 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-skuld-1-oz-silver-bu	face_value
6397	2026 Norns: Urd 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-urd-1-oz-silver-bu	face_value
6398	2026 Norns: Werdanda 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-werdanda-1-oz-silver-bu-3	face_value
6404	Allegories: Polonia & Germania 2 oz WMF 2023	https://germaniamint.com/all-coins/no-series/allegories-polonia-germania-2-oz-wmf-2023	image_obverse+image_reverse,mintage
6405	Americana – Uncle Sam 2 oz Ag 999.9 Cast Bar	https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar-2	image_obverse+image_reverse,face_value,mintage,quality,diameter_mm
6406	Americana – Uncle Sam 2 oz Ag 999.9 Cast Bar	https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar	image_obverse+image_reverse,face_value,mintage,quality,diameter_mm
6416	Pink October – Silver Cast Bar Ag 999.9 2 oz	https://germaniamint.com/all-coins/co-branded/pink-october-silver-cast-bar-ag-999-9-2-oz	image_obverse+image_reverse,face_value,mintage,quality,diameter_mm
6418	Representatives of the Species: Niue Island 2023 – Chameleon 2 oz Silver HR	https://germaniamint.com/all-coins/no-series/representatives-of-the-species-niue-island-2023-chameleon-2-oz-silver-hr	image_obverse+image_reverse,face_value,mintage,diameter_mm
6420	Representatives of the Species: Niue Island 2025 – Red Panda 2 oz Silver HR	https://germaniamint.com/all-coins/representatives-of-the-species/representatives-of-the-species-niue-island-2025-red-panda-2-oz-silver-hr	face_value
6422	2019 Allegories: Britannia & Germania 2 oz Silver BU	https://germaniamint.com/all-coins/allegories/2019-allegories-britannia-germania-2-oz-silver-bu	face_value,metal,metal_fineness,mintage,diameter_mm
6427	2019 Germania 1 oz Silver BU Space Blue	https://germaniamint.com/all-coins/no-series/2019-germania-1-oz-silver-bu-space-blue	image_obverse+image_reverse
6428	2019 Germania 1 oz Silver BU WMF 2020 edition	https://germaniamint.com/all-coins/fair-edition-en/2019-germania-1-oz-silver-bu-wmf-2020-edition-2	image_obverse+image_reverse
6429	2019 Germania 1 oz Silver BU WMF 2020 edition Awers: Personifikacja Germanii Rewers: Effigy Germania Mint	https://germaniamint.com/all-coins/no-series/2019-germania-1-oz-silver-bu-wmf-2020-edition	image_obverse+image_reverse,mintage
6436	2019 Oak Leaf 1 oz Silver BU WMF 2020 edition Obverse: Oak leaf Reverse: Effigy of Germania Mint	https://germaniamint.com/all-coins/fair-edition-en/2019-oak-leaf-1-oz-silver-bu-wmf-2020-edition	image_obverse+image_reverse
6447	2021 Allegories: Austria & Germania 10 oz Silver BU	https://germaniamint.com/all-coins/allegories/2021-allegories-austria-germania-10-oz-silver-bu	face_value,metal,metal_fineness,mintage
6474	2022 Valkyries: Hildegard 1 oz Silver BU	https://germaniamint.com/all-coins/valkyries/2022-valkyries-hildegard-1-oz-silver-bu	metal,metal_fineness,mintage,diameter_mm
6482	2024 Valkyries: Solveig Valhalla 1 oz Silver BU	https://germaniamint.com/all-coins/valkyries/2024-valkyries-solveig-valhalla-1-oz-silver-bu-2	face_value,metal,metal_fineness,diameter_mm
6485	Allegories: Britannia & Germania 1 oz Silver BU WMF 2020 edition Obverse: Personification of Britannia and Germania Reverse: Effigy of Germania Mint	https://germaniamint.com/all-coins/fair-edition-en/allegories-britannia-germania-1-oz-silver-bu-wmf-2020-edition	image_obverse+image_reverse
6486	Allegories: Columbia & Germania 1 oz Silver BU WMF 2020 edition Obverse: Personification of Columbia and Germania Reverse: Effigy of Germania Mint	https://germaniamint.com/all-coins/fair-edition-en/allegories-columbia-germania-1-oz-silver-bu-wmf-2020-edition	image_obverse+image_reverse
6487	Allegories: Columbia & Germania 1 oz Silver BU Germania Mint Sp. z o.o. Al. Wojska Polskiego 21 58-500 Jelenia Góra Poland	https://germaniamint.com/all-coins/fair-edition-en/allegories-columbia-germania-1-oz-silver-bu	image_obverse+image_reverse,mintage
6488	Interkosmos: Gagarin 1 oz Silver BU Yuri Gagarin flew only one cosmic mission, but in 1961 he made history as the first man in space. The 60th anniversary of this historic event is celebrated with the Gagarin 1 oz Silver BU commemorative round. Struck by Germania Mint for the Red Star project, it is the first one from the new Interkosmos series, presenting the achievements of the Soviet space program.	https://germaniamint.com/all-coins/no-series/interkosmos-gagarin-1-oz-silver-bu	image_obverse+image_reverse,face_value,diameter_mm
6489	Interkosmos: Gagarin Orbital 1 oz Silver BU	https://germaniamint.com/all-coins/no-series/interkosmos-gagarin-orbital-1-oz-silver-bu	image_obverse+image_reverse,face_value,mintage,diameter_mm
6490	Mythical Forest 2019 Oak Leaf 1 oz Silver BU	https://germaniamint.com/all-coins/fair-edition-en/mythical-forest-2019-oak-leaf-1-oz-silver-bu	image_obverse+image_reverse,mintage
6491	Americana - Bald Eagle 2 oz Ag 999.9 Cast Bar	https://germaniamint.com/all-bars/co-branded/americana-bald-eagle-2-oz-ag-999-9-cast-bar-2	quality,diameter_mm
