id	title	source_url	missing
6491	Americana - Bald Eagle 2 oz Ag 999.9 Cast Bar	https://germaniamint.com/all-bars/co-branded/americana-bald-eagle-2-oz-ag-999-9-cast-bar-2	diameter_mm
6422	2019 Allegories: Britannia & Germania 2 oz Silver BU	https://germaniamint.com/all-coins/allegories/2019-allegories-britannia-germania-2-oz-silver-bu	face_value,metal,metal_fineness,mintage,diameter_mm
6447	2021 Allegories: Austria & Germania 10 oz Silver BU	https://germaniamint.com/all-coins/allegories/2021-allegories-austria-germania-10-oz-silver-bu	face_value,metal,metal_fineness,mintage
6387	2026 Bödvar Saga: Loss 1 oz Copper BU	https://germaniamint.com/all-coins/bodvar-saga/2026-bodvar-saga-loss-1-oz-copper-bu	face_value
6406	Americana – Uncle Sam 2 oz Ag 999.9 Cast Bar We value your privacy	https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar	face_value,diameter_mm
6405	Americana – Uncle Sam 2 oz Ag 999.9 Cast Bar We value your privacy	https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar-2	face_value,diameter_mm
6416	Pink October – Silver Cast Bar Ag 999.9 2 oz	https://germaniamint.com/all-coins/co-branded/pink-october-silver-cast-bar-ag-999-9-2-oz	face_value,mintage,diameter_mm
6487	Allegories: Columbia & Germania 1 oz Silver BU Germania Mint Sp. z o.o. Al. Wojska Polskiego 21 58-500 Jelenia Góra Poland	https://germaniamint.com/all-coins/fair-edition-en/allegories-columbia-germania-1-oz-silver-bu	mintage
6325	2023 Germania Kilo Silver BU	https://germaniamint.com/all-coins/germania/2023-germania-kilo-silver-bu-kilo-silver-bu	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6391	2026 Germania 1/2 oz Copper Bullion	https://germaniamint.com/all-coins/germania/2026-germania-1-2-oz-copper-bullion	face_value
6429	2019 Germania 1 oz Silver BU WMF 2020 edition Awers: Personifikacja Germanii Rewers: Effigy Germania Mint	https://germaniamint.com/all-coins/no-series/2019-germania-1-oz-silver-bu-wmf-2020-edition	mintage
6316	2023 Fast & Furious 2 Dollars 1 oz Silver Prooflike We value your privacy	https://germaniamint.com/all-coins/no-series/2023-fast-furious-2-dollars-1-oz-silver-prooflike	diameter_mm
6322	2023 Germania 10 oz Silver BU ANA Edition	https://germaniamint.com/all-coins/no-series/2023-germania-10-oz-silver-bu-ana-edition	mintage
6324	2023 Germania 2 oz Silver BU ANA Edition	https://germaniamint.com/all-coins/no-series/2023-germania-2-oz-silver-bu-ana-edition	mintage
6359	2025 Germania 1 oz Black Silver BU WMF Edition We value your privacy	https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6358	2025 Germania 1 oz Black Silver BU WMF Edition We value your privacy	https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition-2	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6404	Allegories: Polonia & Germania 2 oz WMF 2023 We value your privacy	https://germaniamint.com/all-coins/no-series/allegories-polonia-germania-2-oz-wmf-2023	face_value,metal,metal_fineness,mintage,quality,diameter_mm
6396	2026 Norns: Skuld 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-skuld-1-oz-silver-bu	face_value
6397	2026 Norns: Urd 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-urd-1-oz-silver-bu	face_value
6398	2026 Norns: Werdanda 1 oz Silver BU	https://germaniamint.com/all-coins/norns/2026-norns-werdanda-1-oz-silver-bu-3	face_value
6420	Representatives of the Species: Niue Island 2025 – Red Panda 2 oz Silver HR	https://germaniamint.com/all-coins/representatives-of-the-species/representatives-of-the-species-niue-island-2025-red-panda-2-oz-silver-hr	face_value
